_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
7254889,PAA210272,CHARTIERS VALLEY SHOPPING CENTER (KMART),1025 WASHINGTON PIKE,BRIDGEVILLE,15017,200,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE TRANSITE UNDER PARAPET,800,f,2021-04-30,2021-09-03,JOE YAKUBISIN,t,f,2021-09-03,PAA,COMPLETE,40.365558,-80.1085545
7254890,PAA210282,SAINT RAPHAEL RECTORY,1118  CHISLETT ST,PITTSBURGH,15206,200,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FRONT ENTRANCE WALL & CEILING PLASTER,100,t,2021-05-10,2021-06-02,JOE YAKUBISIN,t,f,2021-06-02,PAA,COMPLETE,40.477185,-79.928829
7254891,PAA210339,ALLEGHHENY K-8,810 ARCH ST,PITTSBURGH,15212,1250,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FLR TILE/MASTIC IN RM 127 & LIBRARY STORAGE; BLOWN-IN INS  LT KNEE WELL & E WING ATTIC SP; TRANSITE CEILING IN COR 029; RM 038; & FOOD PREP  041; PIPE FIT/INS IN POOL MECH RM; CRWL SP & B-WNG STRWELL & A WNG DCT SHFT INS SUB-BSMT; DCT INS IN F,3905,t,2021-06-24,2021-09-01,JOE YAKUBISIN,t,f,2021-09-01,PAA,COMPLETE,40.453227,-80.0086545
7254892,PAA210342,MCDONALD'S,2090  LEBANON CHURCH RD,WEST MIFFLIN,15122,1250,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE ROOF,4400,t,2021-06-28,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.347918,-79.9453035
7254893,PAA210388,PROPEL ANDREW STREET HIGH SCHOOL,605 E 10TH AVE,MUNHALL,15120,200,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FLOOR TILE FROM PRICIPAL'S OFFICE,256,t,2021-07-20,2022-07-19,JOE YAKUBISIN,t,f,2021-11-05,PAA,COMPLETE,40.407723,-79.9015005
7254894,PAA210395,COMMERCIAL PROPERTY,1215 N CANAL ST,SHARPSBURG,15215,850,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE TRANSITE FLUE FROM PIPE CHASE & EXTERIOR AND FLOOR TILE & MASTIC FROM FIRST FLOOR,1070,t,2021-07-21,2021-11-05,JOE YAKUBISIN,t,f,2021-11-05,PAA,COMPLETE,40.495194,-79.930044
7254895,PAA210470,COMMERCIAL/RESIDENTIAL,717  BUCHANAN PL,MT LEBANON,15228,200,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT PIPE/FITTING INSULATION,232,t,2021-09-03,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.378833,-80.04321
7254896,PAA210473,VACANT COMMERCIAL BUILDING,3764  SAXONBURG BLVD,PITTSBURGH,15238,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FLOOR TILE/MASTIC 1ST FLOOR NORTH AREA AND 1ST FLOOR BASEMENT LANDING,555,f,2021-09-07,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.581207,-79.883343
7254897,PAA210511,CHRIST UNITED METHODIST CHURCH,44  HIGHLAND RD,BETHEL PARK,15102,1750,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE PLASTER CEILINGS; FLOOR TILE/MASTIC FROM VARIOUS LOCATIONS THROUGHOUT BUILDING PIPE INSULATION & FITTINGS IN PLASTER CEILING AREAS,9655,t,2021-10-06,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.348467,-80.048475
7254898,PAA210513,ST JOES HOUSE OF HOSPITALITY,1635 BEDFORD AVE,PITTSBURGH,15219,200,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FLOOR TILE FROM BASEMENT MEN'S ROOM AND RESTROOM NEXT TO COMPUTER ROOM,230,t,2021-10-08,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.445118,-79.9872435
